,CustomerID,Region,TownSize,Gender,Age,JobCategory,UnionMember,EmploymentLength,Retired,LoanDefault,MaritalStatus,HouseholdSize,HomeOwner,CarsOwned,CarOwnership,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,HouseholdIncome,Education,InHeavyDebt,HasPets,TotalOverTenure,EquipmentOverTeunre,AvgPhoneBill
0,3964-QJWTRG-NPN,1,2.0,Female,20,Professional,Yes,0,No,Yes,Unmarried,3,0.0,2,Own,14300.0,22,Yes,Yes,Mast,2,5,816.5999999999999,No,5,19.5,34.4,Yes,1,126.1,Yes,No,0.0,0.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,13,No,Yes,Yes,No,No,20 to 39,1,0,0,194.9,1,6.88
1,0648-AIPJSP-UVM,5,5.0,Male,22,Sales,No,0,No,Yes,Unmarried,2,1.0,2,Own,6800.0,29,Yes,No,Visa,4,5,426.0,Yes,39,26.700000000000003,330.6,Yes,1,1975.0,Yes,Yes,45.65,1683.55,Yes,Yes,Yes,4,Yes,No,Yes,No,Yes,18,Yes,Yes,Yes,Yes,Yes,0 to 20,2,1,1,2636.2,1,8.476923076923077
2,5195-TLUDJE-HVO,3,4.0,Female,67,Sales,No,16,No,No,Married,3,1.0,3,Own,18800.0,24,Yes,No,Visa,35,9,1842.2,No,65,85.19999999999999,1858.35,No,0,0.0,Yes,No,0.0,0.0,Yes,No,No,No,No,No,No,No,No,21,No,No,No,No,Yes,20 to 39,1,0,1,3716.7,0,28.59
3,4459-VLPQUH-3OL,4,3.0,Male,23,Sales,No,0,No,Yes,Married,5,1.0,3,Own,8700.0,38,No,No,Visa,5,17,3409.9,Yes,36,18.0,199.45,No,0,0.0,Yes,No,0.0,0.0,Yes,No,No,2,No,No,No,No,Yes,26,Yes,Yes,Yes,No,Yes,20 to 39,1,0,0,398.9,0,5.540277777777778
4,8158-SMTQFB-CNO,2,2.0,Male,26,Sales,No,1,No,No,Married,4,0.0,1,Lease,10600.0,32,No,No,Disc,8,8,2551.0,Yes,21,9.149999999999999,74.1,No,0,0.0,Yes,Yes,19.05,410.8,No,Yes,No,3,Yes,Yes,Yes,Yes,No,27,Yes,No,Yes,No,No,20 to 39,1,0,0,148.2,0,3.5285714285714285
5,9662-FUSYIM-1IV,4,4.0,Male,64,Service,No,22,No,No,Unmarried,1,1.0,0,-1,,23,No,No,Visa,18,11,2282.7000000000003,No,28,24.299999999999997,264.9,Yes,1,970.95,Yes,No,0.0,0.0,No,No,Yes,No,Yes,Yes,Yes,Yes,No,21,No,No,No,No,No,80 to 200,2,0,1,1500.75,1,9.460714285714285
6,7432-QKQFJJ-K72,2,5.0,Female,52,Professional,No,10,No,No,Unmarried,1,0.0,2,Own,25600.0,32,No,No,Othe,3,20,8223.2,No,15,11.399999999999999,44.8,No,0,0.0,No,No,0.0,0.0,No,No,No,Yes,No,No,Yes,No,No,19,Yes,Yes,No,No,No,40 to 79,1,0,1,89.6,0,2.9866666666666664
7,8959-RZWRHU-ST8,3,4.0,Female,44,Professional,No,11,No,No,Married,2,1.0,1,Own,55500.0,31,No,Yes,AMEX,25,6,5927.0,No,46,44.55,612.7,No,0,0.0,Yes,No,0.0,0.0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,13,No,No,No,No,Yes,80 to 200,1,0,1,1225.4,0,13.319565217391306
8,9124-DZALHM-S6I,2,3.0,Female,66,Professional,No,15,Yes,No,Unmarried,1,1.0,1,Own,8600.0,25,Yes,Yes,Mast,26,12,3265.8999999999996,Yes,53,63.150000000000006,1074.35,No,0,0.0,Yes,No,0.0,0.0,Yes,No,No,No,No,No,No,No,No,25,No,No,No,No,No,0 to 20,1,0,1,2148.7,0,20.27075471698113
9,3512-MUWBGY-52X,2,2.0,Male,47,Labor,No,19,No,No,Unmarried,2,1.0,4,Own,41000.0,29,Yes,Yes,Othe,2,11,1996.3999999999999,Yes,3,10.95,20.05,No,0,0.0,No,No,0.0,0.0,No,No,No,No,No,No,No,No,No,21,No,No,No,No,No,80 to 200,0,0,1,40.1,0,6.683333333333334
10,5621-QSZPSF-NF2,4,1.0,Female,59,Professional,No,8,No,No,Unmarried,1,0.0,3,Own,28000.0,17,No,Yes,Disc,16,11,4889.700000000001,No,50,25.650000000000002,446.55,Yes,1,1568.35,Yes,No,0.0,0.0,Yes,No,No,3,No,Yes,No,No,Yes,26,Yes,Yes,No,No,No,40 to 79,2,0,1,2461.45,1,8.931000000000001
11,8241-PWPONH-62O,2,4.0,Female,33,Sales,No,4,No,No,Married,5,0.0,2,Own,9300.0,28,No,No,Mast,6,14,3382.6,No,9,10.8,37.0,No,0,0.0,No,No,0.0,0.0,No,No,No,No,No,No,No,No,No,27,No,No,No,No,No,0 to 20,0,0,1,74.0,0,4.111111111111111
12,8795-FYOXCT-P09,5,2.0,Male,44,Professional,No,12,No,No,Unmarried,1,1.0,1,Own,38500.0,25,Yes,Yes,Disc,1,12,5343.6,No,5,20.25,29.9,No,0,0.0,Yes,No,0.0,0.0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,No,40 to 79,0,0,1,59.8,0,5.9799999999999995
13,1705-NMIQNO-IC4,3,2.0,Male,58,Professional,No,3,No,No,Unmarried,1,1.0,0,-1,,16,No,Yes,Disc,25,10,5935.0,Yes,58,36.3,680.75,No,0,0.0,Yes,No,0.0,0.0,Yes,No,No,No,Yes,No,Yes,Yes,No,21,Yes,No,No,No,Yes,40 to 79,2,0,0,1361.5,0,11.737068965517242
14,9205-PAZEXY-90Q,2,1.0,Female,72,Agriculture,Yes,27,Yes,No,Married,2,1.0,1,Own,9300.0,32,Yes,Yes,Mast,33,12,2331.7,Yes,67,41.7,954.05,Yes,1,2580.75,Yes,No,0.0,0.0,Yes,No,No,No,No,No,Yes,No,Yes,24,Yes,No,Yes,Yes,Yes,0 to 20,2,0,0,4488.85,1,14.23955223880597
15,4225-PZZDIY-IBH,3,1.0,Female,66,Labor,Yes,31,Yes,No,Married,2,0.0,3,Own,11600.0,14,Yes,Yes,Mast,40,9,2974.7000000000003,No,72,116.10000000000001,2854.9,No,0,0.0,Yes,Yes,43.25,3159.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,22,Yes,No,No,Yes,Yes,20 to 39,1,0,1,5709.8,0,39.65138888888889
16,0758-EQEGIQ-3OF,1,1.0,Female,57,Agriculture,No,24,No,No,Married,3,1.0,2,Own,75800.0,19,Yes,No,Disc,19,14,3059.4,Yes,48,12.450000000000001,214.85,Yes,1,1990.25,Yes,Yes,40.2,1840.45,No,Yes,Yes,3,Yes,Yes,No,Yes,Yes,17,Yes,Yes,Yes,Yes,No,80 to 200,2,0,1,2419.95,1,4.476041666666666
17,0649-TBFJFL-QU4,5,2.0,Male,63,Labor,Yes,29,No,No,Married,2,1.0,3,Own,88600.0,29,No,Yes,Mast,36,10,4957.5,No,70,104.39999999999999,2540.15,No,0,0.0,Yes,No,0.0,0.0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,24,No,No,No,No,Yes,above 200,1,0,0,5080.3,0,36.28785714285714
18,2228-KOLOPU-FY3,5,5.0,Female,28,Professional,No,4,No,No,Married,3,1.0,0,-1,,30,Yes,No,Visa,10,17,4420.9,Yes,34,10.350000000000001,110.45,No,0,0.0,Yes,No,0.0,0.0,No,No,No,No,Yes,Yes,Yes,Yes,No,16,No,No,No,No,No,20 to 39,0,0,1,220.9,0,3.248529411764706
19,3853-NVDCOJ-TIN,1,1.0,Female,78,Professional,No,10,Yes,No,Unmarried,1,0.0,2,Own,10800.0,23,No,No,Visa,10,1,81.1,Yes,14,21.9,85.6,Yes,1,341.75,Yes,No,0.0,0.0,Yes,No,No,Yes,No,No,No,No,Yes,22,Yes,Yes,No,No,No,20 to 39,1,1,0,512.95,1,6.114285714285714
20,0765-UXAFYM-PDR,3,3.0,Male,61,Professional,No,4,No,No,Married,2,0.0,4,Lease,9400.0,34,No,No,AMEX,27,8,2719.8,No,53,33.599999999999994,567.05,No,0,0.0,Yes,No,0.0,0.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,25,Yes,Yes,Yes,No,No,20 to 39,1,0,0,1134.1,0,10.699056603773585
